beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url
Eugene,Revolution Brewing Company,Porter - American,6.8,28,,Tiger Mama,Boston,MA,United States,42.3442,-71.1002,4.5,3/29/2016 18:05,https://untappd.com/c/293594422,https://untappd.com/beer/7600,https://untappd.com/brewery/2605,United States,Chicago,IL,,,,293594422,7600,2605,
Autocrat Coffee Milk Stout,Narragansett Brewing Company,Stout - Milk / Sweet,5.5,30,,,,,,,,4.5,3/29/2016 18:07,https://untappd.com/c/293594922,https://untappd.com/beer/485593,https://untappd.com/brewery/1252,United States,Pawtucket,RI,,,,293594922,485593,1252,
Dragon’s Milk,New Holland Brewing ,Stout - American Imperial / Double,11,31,,,,,,,,4.5,3/29/2016 18:07,https://untappd.com/c/293595045,https://untappd.com/beer/123662,https://untappd.com/brewery/908,United States,Holland,MI,,,,293595045,123662,908,
Guinness Draught,Guinness,Stout - Irish Dry,4.2,45,,,,,,,,4,3/29/2016 18:22,https://untappd.com/c/293600119,https://untappd.com/beer/4473,https://untappd.com/brewery/49,Ireland,St. James's Gate,Dublin,,,,293600119,4473,49,
Guinness Draught,Guinness,Stout - Irish Dry,4.2,45,,,,,,,,4,3/29/2016 18:43,https://untappd.com/c/293607660,https://untappd.com/beer/4473,https://untappd.com/brewery/49,Ireland,St. James's Gate,Dublin,,,,293607660,4473,49,
Georgia Brown,SweetWater Brewing Company ,Brown Ale - American,5.8,30,,,,,,,,2.5,4/1/2016 23:17,https://untappd.com/c/294771796,https://untappd.com/beer/4512,https://untappd.com/brewery/1224,United States,Atlanta,GA,,,,294771796,4512,1224,
Oatmeal Stout,Ipswich Ale Brewery,Stout - Oatmeal,7,0,,Yard House,Boston,MA,United States,42.3452,-71.1,4,4/7/2016 19:49,https://untappd.com/c/296876212,https://untappd.com/beer/4018,https://untappd.com/brewery/9341,United States,Ipswich,MA,,,,296876212,4018,9341,
Dark Matter,Barreled Souls Brewing Company,Dark Ale,10.1,0,,,,,,,,3.5,4/9/2016 21:16,https://untappd.com/c/298161466,https://untappd.com/beer/750948,https://untappd.com/brewery/144552,United States,Saco,ME,,,,298161466,750948,144552,
Vanilla Porter,Breckenridge Brewery,Porter - American,5.4,16,,,,,,,,4,4/10/2016 11:22,https://untappd.com/c/298368194,https://untappd.com/beer/8063,https://untappd.com/brewery/236,United States,Littleton,CO,,,,298368194,8063,236,
Game of Thrones: Three-Eyed Raven,Brewery Ommegang,Saison / Farmhouse Ale,7.2,80,,,,,,,,3.5,4/24/2016 21:54,https://untappd.com/c/303962139,https://untappd.com/beer/867605,https://untappd.com/brewery/249,United States,Cooperstown,NY,,,,303962139,867605,249,
Game of Thrones: Take The Black Stout,Brewery Ommegang,Stout - Foreign / Export,7,0,,,,,,,,4,4/24/2016 21:55,https://untappd.com/c/303962582,https://untappd.com/beer/387263,https://untappd.com/brewery/249,United States,Cooperstown,NY,,,,303962582,387263,249,
Taddy Porter,Samuel Smith,Porter - English,5,32,,,,,,,,2.75,5/7/2016 11:45,https://untappd.com/c/308343488,https://untappd.com/beer/2241,https://untappd.com/brewery/1099,England,Tadcaster,North Yorkshire,,,,308343488,2241,1099,
Oatmeal Stout,Samuel Smith,Stout - Oatmeal,5,32,,,,,,,,2.75,5/7/2016 11:46,https://untappd.com/c/308343666,https://untappd.com/beer/8,https://untappd.com/brewery/1099,England,Tadcaster,North Yorkshire,,,,308343666,8,1099,
Lucky Beer (Lucky Buddha),Hangzhou Quiandaohu Beer Co. (Cheerday Brewery),Lager - Pale,4.8,12,,Rhum Food +  Grog,Portland,ME,United States,43.6569,-70.2572,,6/4/2016 22:36,https://untappd.com/c/320056540,https://untappd.com/beer/50983,https://untappd.com/brewery/11680,China / People's Republic of China,Hangzhou,Zhejiang,,,,320056540,50983,11680,
Coal Porter,Atlantic Brewing Company,Porter - American,5.6,0,,The Colonel's Restaurant,Northeast Harbor,ME,United States,44.2928,-68.2891,,6/11/2016 15:16,https://untappd.com/c/322384488,https://untappd.com/beer/15202,https://untappd.com/brewery/55,United States,Bar Harbor,ME,,,,322384488,15202,55,
Dubhe Imperial Black IPA,Uinta Brewing Company,IPA - Imperial / Double Black,9.2,109,,Fuji Sushi,Portland,ME,United States,43.6571,-70.2539,3.25,7/1/2016 20:59,https://untappd.com/c/330408346,https://untappd.com/beer/34673,https://untappd.com/brewery/1304,United States,Salt Lake City,UT,,,,330408346,34673,1304,
Short And Stout,Owl's Brew Radler,Shandy / Radler,5,10,,,,,,,,3.75,1/6/2018 22:44,https://untappd.com/c/548575529,https://untappd.com/beer/1684543,https://untappd.com/brewery/289687,United States,New York,NY,"sweet,coconut,tea",,Can,548575529,1684543,289687,
Even More Jesus,Evil Twin Brewing,Stout - American Imperial / Double,12,75,,,,,,,,4.5,12/13/2018 22:15,https://untappd.com/c/687143342,https://untappd.com/beer/145448,https://untappd.com/brewery/3735,United States,Brooklyn,NY,,,,687143342,145448,3735,
